"date","d18OWater","d2HWater","s1","s2","s1_rhat","s2_rhat","s1_n.eff","s2_n.eff"
2019-12-03,-6.22,-39.3,49.6659697515595,50.3340302484405,1.01157763676145,1.0100942847129,280,310
2020-01-07,-6.16,-38.84,52.5675408230328,47.4324591769672,1.00675184185664,1.03252309346831,570,120
2020-02-04,-6,-40.12,51.3158121202082,48.6841878797918,1.00823507364998,1.00163346392627,800,5500
2020-03-03,-6.08,-39.69,50.7890839633637,49.2109160366363,1.01382176853124,1.01300273865163,360,260
2020-03-10,-3.88,-34.04,53.2278905602387,46.7721094397613,1.01972339869744,1.02493773458477,120,88
2020-06-02,-5.78,-37.97,NA,NA,NA,NA,NA,NA
2020-06-15,-6.02,-38.79,NA,NA,NA,NA,NA,NA
2020-06-29,-5.98,-38.48,NA,NA,NA,NA,NA,NA
2020-07-01,-6.02,-38.67,NA,NA,NA,NA,NA,NA
2020-07-15,-5.32,-33.07,NA,NA,NA,NA,NA,NA
2020-08-03,-6.05,-38.77,NA,NA,NA,NA,NA,NA
2020-08-10,-5.91,-38.05,NA,NA,NA,NA,NA,NA
2020-09-01,-5.9,-38.11,42.6707527395715,57.3292472604285,1.00403969949263,1.00202729177672,740,1600
2020-09-14,-5.8,-37.69,41.9364367894669,58.0635632105331,1.0313500540136,1.0509449305902,130,120
2020-10-05,-5.77,-37.37,39.3490709311272,60.6509290688728,1.02648723959791,1.01351553161421,96,160
2020-11-03,-5.8,-37.92,51.0549253214221,48.9450746785779,1.01980765939529,1.04314956758192,320,120
2020-11-09,-4.91,-34.9,45.77981690939,54.22018309061,1.00693155613874,1.02507170892682,330,160
2020-12-01,-5.23,-35.55,NA,NA,NA,NA,NA,NA
2021-01-05,-5.45,-36.55,48.0127686196739,51.9872313803261,1.02195750365681,1.00914707580827,170,470
2021-02-02,-6.14,-39.19,40.9413404530617,59.0586595469383,1.02257529075697,1.00197886009411,160,2100
2021-03-02,-5.89,-38.09,46.2305640416718,53.7694359583282,1.0027292871489,1.00135382134241,1600,7500
2021-03-09,-5.42,-36.52,45.3555570799088,54.6444429200912,1.03321015109685,1.01409216147033,79,170
2021-04-08,-6.02,-38.27,54.7827218389643,45.2172781610357,1.01304823858134,1.01166059651397,960,280
2021-04-12,-5.86,-37.9,53.043910654303,46.956089345697,1.02692119274303,1.01358740660971,100,160
2021-04-19,-6.05,-38.62,54.0088152756293,45.9911847243707,1.02157353324846,1.04734052027593,120,65
2021-04-27,-5.85,-37.71,53.25425502941,46.74574497059,1.01155018919254,1.02096239793571,220,150
2021-05-10,-5.96,-37.98,56.6749002821516,43.3250997178484,1.02221246748871,1.00670900806322,150,360
2021-05-12,-5.91,-37.76,59.0861509640874,40.9138490359126,1.00340292581046,1.00154193194253,2000,2700
2021-05-24,-5.67,-36.47,53.437035766601,46.562964233399,1.01227512057449,1.0011896659679,390,5100
2021-06-01,-5.87,-37.23,58.9635162114158,41.0364837885842,1.01201284139482,1.01116131831135,210,230
2021-06-08,-5.85,-37.65,52.5522500826957,47.4477499173043,1.01357952799181,1.00603012827612,220,380
2021-06-14,-5.93,-37.69,54.5767472360955,45.4232527639045,1.00202376985395,1.00647956558464,1600,470
2021-06-29,-5.84,-37.27,55.3990456666506,44.6009543333494,1.03067461718791,1.00855488148655,120,270
2021-07-14,-5.91,-37.5,53.6878872979198,46.3121127020802,1.00286615057681,1.00381910286604,970,660
2021-08-04,-5.71,-37.51,39.1702360135129,60.8297639864871,1.0066862188316,1.00711986610104,390,360
2021-08-10,-5.89,-37.53,41.4378120241474,58.5621879758526,1.01571370801987,1.05790493857219,150,56
2021-09-01,-5.94,-38.09,41.4235418447722,58.5764581552278,1.00384680387504,1.00576376258962,1100,780
2021-10-04,-5.92,-37.63,52.3261061654028,47.6738938345972,1.00269594403575,1.00435306016712,1100,1100
2021-11-16,-5.72,-37.39,54.745138447882,45.254861552118,1.01550835718538,1.01094789070362,180,220
2021-12-01,-5.7,-36.88,55.9071416904368,44.0928583095631,1.00322460899543,1.00875543355364,830,340
